CustomerID,total_revenue,total_orders,total_items,first_purchase,last_purchase,country,days_since_last_purchase,avg_order_value
12346.0,77183.6,1,74215,2011-01-18 10:01:00,2011-01-18 10:01:00,United Kingdom,325,77183.6
12347.0,4310.0,7,2458,2010-12-07 14:57:00,2011-12-07 15:52:00,Iceland,1,615.7142857142857
12348.0,1797.24,4,2341,2010-12-16 19:09:00,2011-09-25 13:13:00,Finland,74,449.31
12349.0,1757.55,1,631,2011-11-21 09:51:00,2011-11-21 09:51:00,Italy,18,1757.55
12350.0,334.4,1,197,2011-02-02 16:01:00,2011-02-02 16:01:00,Norway,309,334.4
12352.0,2506.04,8,536,2011-02-16 12:33:00,2011-11-03 14:37:00,Norway,35,313.255
12353.0,89.0,1,20,2011-05-19 17:47:00,2011-05-19 17:47:00,Bahrain,203,89.0
12354.0,1079.4,1,530,2011-04-21 13:11:00,2011-04-21 13:11:00,Spain,231,1079.4
12355.0,459.4,1,240,2011-05-09 13:49:00,2011-05-09 13:49:00,Bahrain,213,459.4
12356.0,2811.43,3,1591,2011-01-18 09:50:00,2011-11-17 08:40:00,Portugal,22,937.1433333333333
12357.0,6207.67,1,2708,2011-11-06 16:07:00,2011-11-06 16:07:00,Switzerland,32,6207.67
12358.0,1168.06,2,248,2011-07-12 10:04:00,2011-12-08 10:26:00,Austria,1,584.03
12359.0,6310.03,4,1609,2011-01-12 12:43:00,2011-10-13 12:47:00,Cyprus,57,1577.5075
12360.0,2662.06,3,1165,2011-05-23 09:43:00,2011-10-18 15:22:00,Austria,51,887.3533333333334
12361.0,189.9,1,91,2011-02-25 13:51:00,2011-02-25 13:51:00,Belgium,286,189.9
12362.0,5226.23,10,2229,2011-02-17 10:30:00,2011-12-06 15:40:00,Belgium,2,522.6229999999999
12363.0,552.0,2,408,2011-04-11 13:29:00,2011-08-22 10:18:00,Unspecified,109,276.0
12364.0,1313.1,4,1506,2011-08-19 15:24:00,2011-12-02 10:22:00,Belgium,7,328.275
12365.0,641.38,2,174,2011-02-21 13:51:00,2011-02-21 14:04:00,Cyprus,290,320.69
12367.0,168.9,1,173,2011-12-05 16:48:00,2011-12-05 16:48:00,Denmark,3,168.9
12370.0,3541.94,4,2352,2010-12-14 12:58:00,2011-10-19 14:51:00,Cyprus,50,885.485
12371.0,1887.96,2,591,2011-10-11 10:43:00,2011-10-26 10:16:00,Switzerland,44,943.98
12372.0,1298.04,3,794,2011-02-16 12:46:00,2011-09-29 12:12:00,Denmark,71,432.68
12373.0,364.6,1,197,2011-02-01 13:10:00,2011-02-01 13:10:00,Austria,310,364.6
12374.0,742.9300000000001,1,342,2011-11-14 15:37:00,2011-11-14 15:37:00,Austria,24,742.9300000000001
12375.0,457.5,2,178,2011-09-02 14:23:00,2011-11-29 10:36:00,Finland,10,228.75
12377.0,1628.12,2,944,2010-12-20 09:37:00,2011-01-28 15:45:00,Switzerland,314,814.06
12378.0,4008.62,1,2529,2011-08-02 10:34:00,2011-08-02 10:34:00,Switzerland,129,4008.62
12379.0,852.24,2,407,2011-06-22 16:32:00,2011-09-19 10:09:00,Belgium,81,426.12
12380.0,2724.81,4,1127,2011-06-07 09:49:00,2011-11-18 11:27:00,Belgium,21,681.2025
12381.0,1845.31,5,808,2011-08-12 09:57:00,2011-12-05 12:44:00,Norway,4,369.062
12383.0,1850.56,5,1532,2010-12-22 14:28:00,2011-06-08 08:02:00,Belgium,184,370.11199999999997
12384.0,585.27,2,126,2011-08-10 11:23:00,2011-11-11 08:39:00,Switzerland,28,292.635
12386.0,401.9,2,354,2010-12-08 09:53:00,2011-01-06 12:37:00,Australia,337,200.95
12388.0,2780.66,6,1462,2011-01-17 11:12:00,2011-11-24 12:30:00,Australia,15,463.4433333333333
12390.0,549.84,1,353,2011-09-21 09:33:00,2011-09-21 09:33:00,Belgium,79,549.84
12391.0,439.66,1,293,2011-11-18 12:07:00,2011-11-18 12:07:00,Cyprus,21,439.66
12393.0,1582.6000000000001,4,816,2011-01-11 09:47:00,2011-09-28 15:41:00,Australia,71,395.65000000000003
12394.0,1272.48,2,819,2011-05-06 14:01:00,2011-10-07 08:08:00,Belgium,63,636.24
12395.0,3018.63,12,2118,2010-12-03 16:35:00,2011-11-20 15:21:00,Belgium,18,251.5525
12397.0,2409.9,2,1263,2011-07-27 14:21:00,2011-11-04 09:52:00,Belgium,35,1204.95
12398.0,1635.6599999999999,1,1394,2011-10-25 10:27:00,2011-10-25 10:27:00,Switzerland,45,1635.6599999999999
12399.0,1108.65,4,1178,2011-03-23 09:42:00,2011-08-12 13:15:00,Belgium,118,277.1625
12401.0,84.3,1,11,2011-02-09 13:50:00,2011-02-09 13:50:00,Belgium,302,84.3
12402.0,225.6,1,94,2011-01-20 13:49:00,2011-01-20 13:49:00,Belgium,322,225.6
12403.0,427.7,1,96,2011-10-21 10:51:00,2011-10-21 10:51:00,Denmark,49,427.7
12405.0,1710.39,1,857,2011-07-14 08:52:00,2011-07-14 08:52:00,Finland,148,1710.39
12406.0,3415.3,2,1818,2011-06-09 10:23:00,2011-11-17 19:22:00,Denmark,21,1707.65
12407.0,1708.1200000000001,5,1416,2011-03-20 13:21:00,2011-10-21 10:11:00,Belgium,49,341.624
12408.0,2888.55,5,1409,2011-03-24 14:46:00,2011-11-07 12:27:00,Belgium,32,577.71
12409.0,11072.67,3,5551,2011-06-10 12:19:00,2011-09-22 10:38:00,Switzerland,78,3690.89
12410.0,693.3299999999999,2,211,2011-02-04 10:38:00,2011-02-04 10:39:00,Switzerland,308,346.66499999999996
12412.0,1226.88,3,829,2011-06-23 13:51:00,2011-09-26 10:16:00,Denmark,74,408.96000000000004
12413.0,758.1,3,286,2011-01-06 16:12:00,2011-10-04 09:00:00,France,66,252.70000000000002
12414.0,562.41,3,300,2011-02-02 14:51:00,2011-05-06 14:51:00,Austria,216,187.47
12415.0,124914.53,21,77374,2011-01-06 11:12:00,2011-11-15 14:22:00,Australia,23,5948.310952380953
12417.0,3649.1,9,1552,2010-12-17 11:51:00,2011-12-06 14:52:00,Belgium,2,405.4555555555555
12418.0,668.58,1,407,2011-08-19 11:08:00,2011-08-19 11:08:00,Switzerland,112,668.58
12420.0,600.39,1,345,2011-10-07 08:55:00,2011-10-07 08:55:00,Cyprus,63,600.39
12421.0,807.04,4,484,2011-01-24 15:09:00,2011-11-24 09:07:00,Spain,15,201.76
12422.0,803.5600000000001,3,370,2011-01-19 09:13:00,2011-09-05 09:48:00,Australia,95,267.85333333333335
12423.0,1859.31,8,1339,2010-12-21 10:54:00,2011-12-09 10:10:00,Belgium,0,232.41375
12424.0,1760.96,2,740,2011-06-30 12:06:00,2011-06-30 12:06:00,Australia,162,880.48
12425.0,777.2,1,496,2011-09-22 17:31:00,2011-09-22 17:31:00,Portugal,77,777.2
12426.0,582.73,1,258,2011-05-29 12:26:00,2011-05-29 12:26:00,Germany,194,582.73
12427.0,825.8,3,533,2010-12-03 10:44:00,2011-11-18 08:56:00,Germany,21,275.26666666666665
12428.0,7956.46,9,3536,2011-03-01 09:33:00,2011-11-14 08:22:00,Finland,25,884.0511111111111
12429.0,3750.4,4,1557,2010-12-09 12:05:00,2011-11-30 17:22:00,Denmark,8,937.6
12430.0,256.4,1,117,2011-10-27 15:09:00,2011-10-27 15:09:00,Norway,42,256.4
12431.0,6419.95,15,2896,2010-12-01 10:03:00,2011-11-04 11:55:00,Australia,35,427.99666666666667
12432.0,5059.32,5,1801,2011-06-20 13:27:00,2011-10-28 11:43:00,Norway,42,1011.8639999999999
12433.0,13375.87,7,11071,2010-12-01 13:24:00,2011-12-09 10:02:00,Norway,0,1910.8385714285716
12434.0,806.14,2,394,2011-03-24 13:05:00,2011-09-16 12:38:00,Australia,84,403.07
12435.0,7829.89,2,2055,2011-03-17 07:40:00,2011-09-21 09:06:00,Denmark,79,3914.945
12436.0,509.01,1,211,2011-09-01 12:09:00,2011-09-01 12:09:00,Norway,99,509.01
12437.0,4951.41,18,2922,2011-01-12 14:13:00,2011-12-08 11:35:00,France,1,275.0783333333333
12438.0,2906.85,2,1180,2011-07-22 13:29:00,2011-11-25 13:28:00,Norway,13,1453.425
12441.0,173.55,1,121,2010-12-08 10:45:00,2010-12-08 10:45:00,France,366,173.55
12442.0,172.06,1,182,2011-12-06 14:22:00,2011-12-06 14:22:00,Spain,2,172.06
12444.0,5005.46,5,1153,2011-06-21 14:00:00,2011-11-18 13:23:00,Norway,20,1001.092
12445.0,133.4,1,62,2011-11-17 18:43:00,2011-11-17 18:43:00,Spain,21,133.4
12446.0,1002.3100000000001,1,351,2011-10-13 12:50:00,2011-10-13 12:50:00,RSA,57,1002.3100000000001
12447.0,476.49,1,190,2011-04-10 13:25:00,2011-04-10 13:25:00,Belgium,242,476.49
12448.0,449.45,1,243,2011-10-26 13:46:00,2011-10-26 13:46:00,Spain,43,449.45
12449.0,4067.29,4,1553,2011-06-05 15:37:00,2011-11-17 13:46:00,Belgium,21,1016.8225
12450.0,197.88,2,128,2011-06-19 14:36:00,2011-07-06 14:41:00,Spain,155,98.94
12451.0,9035.52,5,6575,2011-01-19 09:05:00,2011-11-29 08:40:00,Switzerland,10,1807.104
12452.0,430.57,2,185,2011-11-23 08:05:00,2011-11-23 10:28:00,Switzerland,16,215.285
12453.0,707.09,1,473,2011-07-28 14:08:00,2011-07-28 14:08:00,Austria,133,707.09
12454.0,3528.34,1,1006,2011-10-14 17:13:00,2011-10-14 17:13:00,Spain,55,3528.34
12455.0,2466.86,6,2089,2011-02-16 09:56:00,2011-09-27 15:31:00,Cyprus,72,411.1433333333334
12456.0,3181.04,3,1633,2011-03-30 09:12:00,2011-10-26 14:41:00,Switzerland,43,1060.3466666666666
12457.0,2363.23,7,843,2011-04-14 18:57:00,2011-10-04 13:13:00,Switzerland,65,337.6042857142857
12458.0,947.4,2,506,2011-02-28 10:55:00,2011-09-29 15:25:00,Switzerland,70,473.7
12461.0,826.88,2,287,2011-07-08 10:23:00,2011-09-06 16:57:00,Switzerland,93,413.44
12462.0,1189.59,2,536,2011-02-09 14:44:00,2011-11-21 09:11:00,Spain,18,594.795
12463.0,1344.78,4,776,2011-04-12 12:47:00,2011-10-17 13:44:00,Belgium,52,336.195
12464.0,1212.05,8,112,2011-02-03 13:30:00,2011-11-29 13:33:00,Belgium,9,151.50625
12465.0,742.1899999999999,2,479,2011-06-23 13:37:00,2011-11-22 16:34:00,Belgium,16,371.09499999999997
12468.0,729.5400000000001,2,366,2011-01-27 13:29:00,2011-06-05 11:36:00,Germany,187,364.77000000000004
12471.0,19788.65,30,8200,2010-12-10 09:35:00,2011-12-07 15:43:00,Germany,1,659.6216666666667
12472.0,6572.11,7,4148,2010-12-05 14:19:00,2011-11-07 14:01:00,Germany,31,938.8728571428571
12473.0,3928.0499999999997,5,2414,2011-06-01 10:15:00,2011-11-10 13:46:00,Germany,28,785.6099999999999
12474.0,7324.09,18,4833,2011-01-14 10:06:00,2011-11-22 14:39:00,Germany,16,406.8938888888889
12475.0,723.38,1,535,2011-10-17 10:10:00,2011-10-17 10:10:00,Germany,53,723.38
12476.0,6816.42,11,2408,2010-12-13 14:39:00,2011-11-24 12:40:00,Germany,15,619.6745454545454
12477.0,13219.74,6,3653,2011-02-11 12:45:00,2011-11-17 09:51:00,Germany,22,2203.29
12478.0,680.99,1,236,2011-12-06 09:56:00,2011-12-06 09:56:00,Greece,3,680.99
12479.0,527.2,1,385,2011-11-28 13:26:00,2011-11-28 13:26:00,Germany,10,527.2
12480.0,3281.63,4,1707,2011-01-07 15:27:00,2011-11-11 14:52:00,Germany,27,820.4075
12481.0,5579.82,10,3294,2010-12-09 10:13:00,2011-11-17 08:29:00,Germany,22,557.982
12483.0,2484.98,8,1110,2011-01-04 14:20:00,2011-11-22 17:02:00,Sweden,16,310.6225
12484.0,4527.32,6,2187,2011-01-07 14:04:00,2011-11-07 11:37:00,Spain,32,754.5533333333333
12488.0,1298.66,3,529,2011-09-25 10:34:00,2011-11-30 08:50:00,France,9,432.8866666666667
12489.0,334.93,1,105,2011-01-07 13:13:00,2011-01-07 13:13:00,France,335,334.93
12490.0,5417.93,10,3064,2011-01-14 09:13:00,2011-12-04 16:07:00,France,4,541.793
12491.0,460.40000000000003,1,260,2011-11-01 12:18:00,2011-11-01 12:18:00,France,38,460.40000000000003
12492.0,263.21000000000004,2,192,2011-08-26 14:51:00,2011-10-07 15:15:00,Germany,62,131.60500000000002
12493.0,433.74,2,207,2011-05-26 14:53:00,2011-06-27 10:17:00,France,165,216.87
12494.0,1246.1000000000001,7,707,2010-12-09 11:31:00,2011-11-24 09:34:00,France,15,178.01428571428573
12497.0,1043.1,1,1236,2011-09-19 12:29:00,2011-09-19 12:29:00,Germany,81,1043.1
12498.0,403.70000000000005,3,159,2011-10-13 09:30:00,2011-11-18 12:53:00,Germany,20,134.5666666666667
12500.0,4257.82,11,2678,2011-01-10 09:48:00,2011-11-16 16:20:00,Germany,22,387.07454545454544
12501.0,2169.39,1,1783,2011-01-07 12:28:00,2011-01-07 12:28:00,Germany,336,2169.39
12502.0,3723.87,5,820,2011-02-03 10:41:00,2011-09-05 11:52:00,Spain,95,744.774
12504.0,482.04999999999995,2,90,2011-11-09 14:56:00,2011-11-21 16:02:00,Germany,17,241.02499999999998
12506.0,73.5,1,23,2011-04-21 08:54:00,2011-04-21 08:54:00,France,232,73.5
12507.0,1304.81,3,894,2011-02-14 09:24:00,2011-07-28 17:09:00,Spain,133,434.93666666666667
12508.0,397.88,2,271,2011-11-10 16:27:00,2011-11-13 15:37:00,France,25,198.94
12509.0,176.5,1,55,2011-02-28 14:45:00,2011-02-28 14:45:00,France,283,176.5
12510.0,982.5699999999999,2,353,2011-01-18 14:04:00,2011-07-20 10:15:00,Spain,142,491.28499999999997
12512.0,132.18,2,96,2011-10-04 14:53:00,2011-10-04 14:55:00,Israel,65,66.09
12513.0,612.29,1,462,2011-08-19 10:51:00,2011-08-19 10:51:00,France,112,612.29
12514.0,1017.68,1,440,2011-03-17 16:38:00,2011-03-17 16:38:00,Italy,266,1017.68
12515.0,383.7,1,131,2010-12-21 15:43:00,2010-12-21 15:43:00,Italy,352,383.7
12516.0,1312.06,2,875,2011-06-12 11:37:00,2011-09-23 09:13:00,Germany,77,656.03
12517.0,2481.6,5,1361,2011-06-02 15:13:00,2011-11-11 14:04:00,Germany,27,496.32
12518.0,2056.89,5,1318,2011-08-21 13:18:00,2011-12-09 10:13:00,Germany,0,411.378
12519.0,330.84,1,175,2011-10-07 09:26:00,2011-10-07 09:26:00,Germany,63,330.84
12520.0,2634.26,5,1439,2011-03-11 11:35:00,2011-09-21 15:23:00,Germany,78,526.8520000000001
12521.0,599.68,1,309,2011-07-20 10:51:00,2011-07-20 10:51:00,Germany,142,599.68
12522.0,192.72,2,194,2011-10-19 14:41:00,2011-10-31 15:30:00,Germany,38,96.36
12523.0,1789.77,11,865,2011-01-12 09:43:00,2011-11-20 12:55:00,France,18,162.70636363636365
12524.0,4485.72,8,3699,2011-01-10 10:35:00,2011-11-30 15:31:00,Germany,8,560.715
12526.0,1316.66,3,632,2011-09-06 14:19:00,2011-12-09 12:09:00,Germany,0,438.8866666666667
12527.0,348.71000000000004,3,234,2011-01-18 12:05:00,2011-09-19 11:55:00,Germany,81,116.23666666666668
12528.0,1933.48,6,756,2011-01-31 09:05:00,2011-11-30 14:40:00,Germany,8,322.24666666666667
12530.0,1662.28,4,913,2011-01-07 10:04:00,2011-10-11 12:34:00,Germany,59,415.57
12531.0,125.22,1,45,2011-11-25 11:12:00,2011-11-25 11:12:00,Germany,14,125.22
12532.0,349.83000000000004,1,153,2011-11-09 13:47:00,2011-11-09 13:47:00,France,29,349.83000000000004
12534.0,1089.18,1,651,2011-08-01 10:26:00,2011-08-01 10:26:00,Germany,130,1089.18
12535.0,716.35,2,219,2011-06-06 12:47:00,2011-09-09 08:48:00,France,91,358.175
12536.0,12601.830000000002,3,2803,2011-10-11 14:52:00,2011-10-27 14:20:00,France,42,4200.610000000001
12538.0,363.95,1,191,2011-11-10 17:16:00,2011-11-10 17:16:00,Spain,28,363.95
12539.0,5568.35,4,2067,2011-01-10 09:11:00,2011-11-17 13:30:00,Spain,21,1392.0875
12540.0,13400.24,17,6685,2010-12-13 09:39:00,2011-11-20 11:31:00,Spain,19,788.2494117647059
12541.0,981.18,3,680,2011-03-04 09:32:00,2011-11-10 10:40:00,Spain,29,327.06
12544.0,372.7,1,136,2011-11-03 16:15:00,2011-11-03 16:15:00,Spain,35,372.7
12545.0,1000.39,2,523,2011-03-25 12:04:00,2011-09-25 13:39:00,Spain,74,500.195
12546.0,1161.5,2,633,2011-09-23 09:44:00,2011-10-24 12:09:00,Spain,46,580.75
12547.0,207.79999999999998,2,134,2011-03-04 12:46:00,2011-05-26 12:38:00,Spain,197,103.89999999999999
12548.0,95.19999999999999,1,49,2011-06-26 15:35:00,2011-06-26 15:35:00,Spain,165,95.19999999999999
12550.0,964.83,1,569,2011-09-21 14:35:00,2011-09-21 14:35:00,Spain,78,964.83
12551.0,168.0,1,100,2010-12-17 11:23:00,2010-12-17 11:23:00,Spain,357,168.0
12552.0,437.82,2,88,2011-10-31 12:11:00,2011-11-01 10:02:00,Italy,38,218.91
12553.0,3692.28,10,1965,2011-01-14 10:42:00,2011-12-01 16:38:00,France,7,369.228
12556.0,599.56,2,355,2011-07-11 13:35:00,2011-10-20 13:06:00,Spain,49,299.78
12557.0,11990.960000000001,5,4384,2010-12-03 12:20:00,2011-11-23 16:59:00,Spain,15,2398.192
12558.0,269.96,1,196,2011-12-02 10:41:00,2011-12-02 10:41:00,USA,7,269.96
12559.0,561.71,2,283,2011-01-24 10:12:00,2011-02-02 09:49:00,Germany,310,280.855
12560.0,2134.01,3,1110,2011-07-19 15:55:00,2011-12-04 13:54:00,Germany,4,711.3366666666667
12561.0,238.85,1,177,2011-02-10 11:39:00,2011-02-10 11:39:00,Germany,302,238.85
12562.0,3781.7400000000002,7,1779,2011-05-25 12:44:00,2011-12-01 17:20:00,France,7,540.2485714285715
12564.0,456.9,1,133,2011-03-23 14:55:00,2011-03-23 14:55:00,France,260,456.9
12565.0,145.92,1,80,2011-02-24 10:34:00,2011-02-24 10:34:00,Saudi Arabia,288,145.92
12566.0,351.65,1,265,2011-09-14 14:30:00,2011-09-14 14:30:00,Germany,85,351.65
12567.0,9401.28,10,4305,2010-12-05 11:57:00,2011-11-17 11:02:00,France,22,940.128
12569.0,4124.69,32,1801,2011-04-01 13:47:00,2011-12-07 16:24:00,Germany,1,128.8965625
12571.0,519.61,2,523,2011-08-10 12:35:00,2011-10-31 10:19:00,France,39,259.805
12572.0,1020.42,2,452,2011-10-19 08:20:00,2011-12-01 09:20:00,Germany,8,510.21
12573.0,160.54000000000002,1,84,2011-04-26 15:52:00,2011-04-26 15:52:00,France,226,160.54000000000002
12574.0,218.45,1,61,2011-01-28 09:20:00,2011-01-28 09:20:00,France,315,218.45
12576.0,1315.83,5,967,2011-02-08 11:31:00,2011-11-04 10:11:00,Poland,35,263.166
12577.0,626.6,3,469,2010-12-15 16:21:00,2011-11-04 13:24:00,France,34,208.86666666666667
12578.0,2794.51,2,1196,2011-01-13 15:34:00,2011-11-18 13:30:00,Italy,20,1397.255
12579.0,440.42,1,285,2011-09-22 17:15:00,2011-09-22 17:15:00,France,77,440.42
12580.0,415.7,1,238,2011-04-07 10:24:00,2011-04-07 10:24:00,Germany,246,415.7
12581.0,197.71,1,161,2011-10-31 08:56:00,2011-10-31 08:56:00,Germany,39,197.71
