Date,total_revenue,total_orders,total_customers,total_items,avg_order_value
2010-12-01,46192.49,121,95,24114,381.75611570247935
2010-12-02,47197.57,137,99,31077,344.5078102189781
2010-12-03,23876.63,57,50,11798,418.8882456140351
2010-12-05,31361.28,87,75,16241,360.4744827586207
2010-12-06,31009.33,94,82,16115,329.88648936170216
2010-12-07,53730.96,71,65,19404,756.7740845070423
2010-12-08,39094.2,111,99,21497,352.2
2010-12-09,38193.91,98,90,17383,389.7337755102041
2010-12-10,33488.38,72,53,15927,465.1163888888889
2010-12-12,17102.35,43,42,10533,397.72906976744184
2010-12-13,27578.34,64,59,15309,430.9115625
2010-12-14,29235.13,81,73,17707,360.92753086419754
2010-12-15,30251.47,70,66,18388,432.1638571428572
2010-12-16,48791.87,113,98,29711,431.78646017699117
2010-12-17,19966.36,55,51,11395,363.02472727272726
2010-12-19,7292.95,18,17,3674,405.1638888888889
2010-12-20,19599.06,50,41,13419,391.9812
2010-12-21,15929.16,27,23,11062,589.9688888888888
2010-12-22,4886.52,14,13,3074,349.0371428571429
2010-12-23,5644.77,17,15,3220,332.0452941176471
2011-01-04,12105.11,35,34,6950,345.86028571428574
2011-01-05,28799.43,48,45,18369,599.988125
2011-01-06,34343.79,46,45,21534,746.6041304347826
2011-01-07,23797.79,47,45,15122,506.33595744680855
2011-01-09,15590.68,48,48,8125,324.80583333333334
2011-01-10,15330.83,34,32,9380,450.9067647058823
2011-01-11,60243.73,53,47,26072,1136.6741509433964
2011-01-12,17124.74,42,42,7883,407.7319047619048
2011-01-13,15159.460000000001,41,41,8309,369.7429268292683
2011-01-14,39509.7,38,37,21098,1039.728947368421
2011-01-16,6976.39,25,22,4086,279.0556
2011-01-17,16527.05,46,45,8692,359.2836956521739
2011-01-18,87559.21,32,31,80605,2736.2253125
2011-01-19,21586.78,33,33,15869,654.1448484848485
2011-01-20,15197.08,34,30,8171,446.9729411764706
2011-01-21,24276.01,34,32,12694,714.0002941176471
2011-01-23,10306.1,27,27,5200,381.7074074074074
2011-01-24,17601.87,44,43,9587,400.04249999999996
2011-01-25,23994.38,59,57,14443,406.68440677966106
2011-01-26,17424.45,53,49,10418,328.7632075471698
2011-01-27,22050.49,50,50,10902,441.00980000000004
2011-01-28,17247.2,37,36,9164,466.14054054054054
2011-01-30,6542.61,24,22,3383,272.60875
2011-01-31,18806.43,57,50,12417,329.9373684210526
2011-02-01,26358.7,58,57,14995,454.4603448275862
2011-02-02,17091.15,56,55,8908,305.19910714285714
2011-02-03,22171.9,45,44,15427,492.7088888888889
2011-02-04,18087.96,45,41,11254,401.95466666666664
2011-02-06,3439.67,11,11,2036,312.6972727272727
2011-02-07,23382.97,38,35,8567,615.3413157894737
2011-02-08,14153.34,38,37,8664,372.4563157894737
2011-02-09,11910.83,23,22,6144,517.8621739130434
2011-02-10,14155.36,40,39,11767,353.884
2011-02-11,18579.96,38,34,9575,488.94631578947366
2011-02-13,5645.48,20,20,2723,282.274
2011-02-14,22999.39,36,36,12339,638.8719444444445
2011-02-15,37750.62,53,47,22082,712.2758490566039
2011-02-16,23413.97,62,56,15729,377.6446774193549
2011-02-17,17659.64,55,50,12747,321.0843636363636
2011-02-18,14438.73,35,34,8610,412.53514285714283
2011-02-20,9437.8,26,26,5218,362.9923076923077
2011-02-21,32724.38,33,31,20376,991.6478787878788
2011-02-22,29116.63,50,47,20921,582.3326000000001
2011-02-23,19315.97,53,49,12139,364.4522641509434
2011-02-24,21463.94,53,52,11558,404.97999999999996
2011-02-25,18377.14,45,42,10038,408.3808888888889
2011-02-27,9382.71,33,31,4823,284.32454545454544
2011-02-28,15026.68,51,49,8387,294.6407843137255
2011-03-01,23621.59,56,52,11566,421.81410714285715
2011-03-02,18666.14,42,40,8608,444.4319047619048
2011-03-03,32818.19,47,46,19119,698.2593617021278
2011-03-04,17302.55,45,38,12930,384.5011111111111
2011-03-06,9951.67,26,24,5026,382.75653846153847
2011-03-07,20247.85,58,49,11088,349.1008620689655
2011-03-08,22184.11,44,41,13811,504.1843181818182
2011-03-09,20320.23,51,47,11457,398.4358823529412
2011-03-10,24429.77,52,46,15222,469.8032692307692
2011-03-11,20894.75,48,42,9249,435.3072916666667
2011-03-13,4117.22,16,16,2733,257.32625
2011-03-14,25866.33,48,41,16729,538.881875
2011-03-15,14896.28,41,40,7918,363.3239024390244
2011-03-16,21715.11,50,46,12843,434.3022
2011-03-17,31976.51,56,51,19025,571.0091071428571
2011-03-18,23334.600000000002,52,48,13214,448.74230769230775
2011-03-20,19880.99,57,56,13473,348.7892982456141
2011-03-21,16020.1,48,47,9443,333.75208333333336
2011-03-22,19016.94,41,40,13484,463.82780487804877
2011-03-23,21566.02,59,55,13918,365.5257627118644
2011-03-24,36496.79,68,63,18164,536.7175
2011-03-25,27271.1,52,45,13325,524.4442307692308
2011-03-27,9189.77,31,31,4495,296.4441935483871
2011-03-28,19961.67,58,52,11574,344.166724137931
2011-03-29,37190.52,50,46,24183,743.8104
2011-03-30,29523.85,66,63,20055,447.3310606060606
2011-03-31,25621.11,59,57,14930,434.2561016949153
2011-04-01,24487.9,68,59,18279,360.11617647058824
2011-04-03,6872.53,19,18,5646,361.71210526315787
2011-04-04,28998.010000000002,54,49,12861,537.0001851851853
2011-04-05,28667.42,46,45,15175,623.2047826086956
